x_coor,y_coor,dip_azi,dip,thick,throw,depth_mid,h1,h2,h3,h4,h5,h6,h7,f_s1,f_s2,f_s3,f_s4,f_s5,f_s6,f_s7,f_d1,f_d2,f_d3,f_d4,f_d5,f_d6,f_d7,d_c1,d_c2,d_c3,d_c4,d_c5,d_c6,d_c7,sv_grad1,sv_grad2,sv_grad3,sv_grad4,sv_grad5,sv_grad6,sv_grad7,shsv1,shsv2,shsv3,shsv4,shsv5,shsv6,shsv7
249201.9999009309,591610.2965233161,60.809991934753995,66.61770533671742,247.78646133178626,7.614695894814829,-2981.060382615357,-2756.1,-2798.35,-2798.35,-2840.15,-2861.93,-3104.95,-3104.95,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
249167.1989475411,591638.9068811404,61.35955182561728,67.73627392697816,237.41056801009174,3.2716566442476713,-2986.2483292762045,-2765.45,-2807.32,-2807.32,-2869.15,-2869.15,-3104.95,-3104.95,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
249130.86770258646,591665.6676829013,61.829079049367486,68.38851420951579,226.18823480029823,0.6374701824433124,-2991.859495881101,-2778.41,-2817.71,-2817.71,-2880.16,-2880.16,-3104.95,-3104.95,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
249093.81400840182,591691.555310958,62.13687014030701,68.36717755565202,217.18046340828977,0.049734989077984494,-2996.363943592549,-2785.85,-2825.08,-2825.08,-2888.57,-2888.57,-3104.95,-3104.95,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
249056.66852775842,591717.3320031608,62.062910526257596,68.14242074901483,210.3802574703451,0.0028804963591378932,-2999.7830675588043,-2789.99,-2830.45,-2830.45,-2895.88,-2895.88,-3104.95,-3104.95,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
249020.44988867256,591744.228903736,61.390708474284025,67.61065434868382,205.8787610887107,0.02636979568348123,-3002.2741666006964,-2792.92,-2833.78,-2833.78,-2900.15,-2900.15,-3104.95,-3104.95,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248985.3196707279,591772.441302591,60.68225980094612,65.75363744514122,204.07880240366728,0.24443501583385294,-3004.35726717076,-2793.47,-2835.72,-2835.72,-2902.98,-2902.98,-3104.95,-3104.95,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248958.00780927105,591810.1032004708,60.13852181182146,63.183102909434695,204.69346913407816,1.211075758630771,-3006.4858662944957,-2792.73,-2836.05,-2836.67,-2904.32,-2904.36,-3108.94,-3109.37,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248933.6641065826,591851.352503636,59.70233738698234,61.750861492725534,205.58911909151368,3.554398475741271,-3008.349576847153,-2790.08,-2835.4,-2837.79,-2903.95,-2906.58,-3110.63,-3113.8,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248917.5727212933,591902.5758039369,59.48049251351896,61.16946175731293,205.03236026614076,7.337354742901544,-3009.611759589706,-2786.95,-2833.93,-2839.81,-2903.69,-2910.5,-3109.35,-3115.88,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248893.48889011235,591944.139195563,58.828683168118594,62.08051940382711,203.34732991142647,12.290149952298076,-3010.2546202519866,-2788.1,-2834.18,-2845.48,-2902.75,-2915.08,-3106.57,-3118.02,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248853.50959855836,591966.4908593118,57.41795453531715,64.55567474527166,201.50647157058717,17.84410692347072,-3010.219865295023,-2789.59,-2833.24,-2850.58,-2900.68,-2919.44,-3102.54,-3119.89,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248812.10742623132,591987.122786886,56.459007991656705,67.22962718015725,200.05777870618724,23.183263401964236,-3009.472307554167,-2788.36,-2830.82,-2854.09,-2897.77,-2921.89,-3098.13,-3121.25,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248769.25036088194,592005.9962873256,56.24853976718585,69.57138813772929,199.02650983493987,27.681189135965454,-3008.1961343752905,-2787.82,-2828.53,-2856.35,-2894.45,-2923.24,-3093.81,-3121.7,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248729.89127462584,592029.0975497101,56.314442683434024,71.83000496245788,198.27279736306411,31.01630848619844,-3006.741825677902,-2788.05,-2826.03,-2856.99,-2891.68,-2923.37,-3089.89,-3121.49,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248693.6835542499,592056.0076469638,56.20997911483411,73.42636327742215,197.6791131554348,33.15859957409519,-3005.466653870171,-2788.91,-2824.5,-2856.99,-2889.66,-2923.14,-3087.19,-3121.01,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248656.13617420133,592081.2985915492,55.52534969830467,74.21432185987607,197.11284435093935,34.19925356112178,-3004.586128346628,-2788.81,-2823.47,-2857.07,-2888.53,-2922.97,-3085.36,-3120.45,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248617.3200916112,592105.0561443728,54.405622071354756,74.99475825743532,196.53938435646512,34.144740671857775,-3004.141671744873,-2787.96,-2823.47,-2857.27,-2888.52,-2922.96,-3084.74,-3119.7,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248578.3513473462,592128.6291857392,53.38485862246685,75.36144694547309,196.04467929162274,33.00559624541869,-3004.053195853192,-2786.73,-2824.23,-2856.59,-2889.41,-2922.48,-3084.92,-3118.86,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248539.68741661054,592152.5706338357,52.44448377096245,74.86302916497311,195.64735544471853,30.906137060167588,-3004.2362624102893,-2786.75,-2825.77,-2855.6,-2890.8,-2921.78,-3086.17,-3117.78,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248502.51544279465,592178.3153055996,50.39815439764559,74.05382845743765,195.2496087707626,28.152573311601614,-3004.640340711243,-2788.39,-2827.81,-2854.73,-2893.02,-2920.76,-3087.84,-3116.53,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248466.87717568263,592205.913661066,48.29200448772264,73.4734833052024,194.82755705157788,25.2574811108503,-3005.2180964510044,-2791.26,-2830.28,-2854.17,-2895.48,-2920.1,-3089.84,-3115.28,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248433.74681376535,592236.5431456103,47.97527009097618,73.04859812073013,194.45048550189162,22.777672133709657,-3005.907372275309,-2793.73,-2832.43,-2853.77,-2897.7,-2919.63,-3091.72,-3114.44,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248405.4646768102,592273.0323395607,48.215833085353076,72.71498691803308,194.14182002282354,21.17514158176838,-3006.6654588030183,-2795.48,-2834.24,-2853.75,-2899.59,-2919.59,-3093.18,-3114.21,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248377.01591304413,592309.3201433737,46.903063520619824,72.59650440842701,193.86416678529298,20.691109216407963,-3007.45353743944,-2796.93,-2835.34,-2854.52,-2900.65,-2920.39,-3094.13,-3114.71,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
248345.02251959956,592341.323801952,45.0124612733876,72.56733124657848,193.54974135987976,21.22285811406908,-3008.198815002448,-2797.73,-2835.78,-2855.62,-2901.24,-2921.71,-3094.44,-3115.7,0.75,0.5,0.35,0.52,0.65,0.61,0.5,0.35,0.3,0.25,0.275,0.3,0.35,0.37,0.003,0.006,0.008,0.007,0.005,0.007,0.008,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.9,0.9,0.8,0.8,0.75,0.82,0.82
