x_coor,y_coor,dip_azimuth,dip_angle,thick,throw,cdepth
249138.40806734015,591436.5048305956,119.46434463020526,73.92461666264116,178.254,36.1124,-2989.711
249127.52651642342,591455.7658639153,119.86068680819784,73.54602119233995,178.254,36.1124,-2989.711
249116.41993979953,591474.8041437586,120.65033398183145,73.10819848358271,178.254,36.11240000000001,-2989.733982085502
249105.0925472316,591493.6236900775,121.43061055804516,72.67041616178051,178.254,36.11240000000001,-2989.936159395307
249093.54854848317,591512.2285228254,122.20099555692413,72.21399519549504,178.254,36.11240000000001,-2990.3182085826643
249081.7921533175,591530.6226619545,122.96099015999305,71.74906124306382,178.254,36.11240000000001,-2990.8852262814826
249069.8275714981,591548.810127418,123.71011851543292,71.29532664076336,178.254,36.11240000000001,-2991.6367775233894
249057.6590127883,591566.7949391686,124.44792837365739,70.86028541516937,178.254,36.11240000000001,-2992.5494826543704
249045.29068695125,591584.5811171586,125.17399154700117,70.44452695995672,178.254,36.11240000000001,-2993.4697496286117
249032.7268037506,591602.1726813413,125.88790420973159,70.04084181283055,178.254,36.11240000000001,-2994.406124091838
249019.97157294943,591619.5736516687,126.58928703465605,69.63446384837006,178.254,36.11240000000001,-2995.3505640819762
249007.02920431134,591636.7880480941,127.27778517837099,69.20658571560975,178.254,36.11240000000001,-2996.2956746381724
248993.90390759966,591653.8198905704,127.95306812688273,68.74478110062444,178.254,36.11240000000001,-2997.252479687744
248980.59989257762,591670.6731990497,128.61482940240336,68.23703884179191,178.254,36.11240000000001,-2998.247088845482
248967.12136900867,591687.351993485,129.26278615188926,67.69224770896263,178.254,36.11240000000001,-2999.25147008899
248953.4725466561,591703.8602938289,129.89667862350677,67.12556981697988,178.254,36.11240000000001,-3000.2212429268848
248939.65763528322,591720.2021200341,130.51626954128616,66.57117180062782,178.254,36.11240000000001,-3001.1563570754174
248925.68084465363,591736.381492054,131.12134339603364,66.07692222142401,178.254,36.11240000000001,-3002.0269983061908
248911.54638453046,591752.4024298403,131.711705653336,65.68463027499016,178.254,36.11240000000001,-3002.796777644292
248897.2584646773,591768.2689533466,132.28718190118437,65.45884934871968,178.254,36.11240000000001,-3003.466114912395
248882.82129485716,591783.985082525,132.8476169414798,65.41941794511948,178.254,36.11240000000001,-3004.1016445100995
248868.23908483365,591799.5548373284,133.39287383639092,65.61894645698317,178.254,36.11240000000001,-3004.757512277743
248853.51604437016,591814.9822377097,133.92283292599646,66.03357142874977,178.254,36.11240000000001,-3005.4217749934564
248838.65638323,591830.2713036215,134.43739081569936,66.68036637063781,178.254,36.11240000000001,-3006.0279551049357
248823.66431117646,591845.4260550167,134.9364593523694,67.49388018253404,178.254,36.11240000000001,-3006.5944117600657
248808.5440379729,591860.4505118475,135.41996459051,68.45175944457948,178.254,36.11240000000001,-3007.10176861487
248793.29977338278,591875.3486940671,135.88784576038324,69.47371571281936,178.254,36.11240000000001,-3007.538848568457
248777.93572716933,591890.1246216282,136.34005424267056,70.51656269892311,178.254,36.11240000000001,-3008.019966942748
248762.45610909615,591904.7823144837,136.77655255470412,71.5207620657992,178.254,36.11240000000001,-3008.51616280218
248746.86512892638,591919.3257925857,137.19731335415736,72.44999534824369,178.254,36.11240000000001,-3008.7842287304475
248731.16699642333,591933.7590758872,137.60231846388675,73.28682373595994,178.1976421460723,36.182810569461,-3008.843633385497
248715.36592135055,591948.0861843411,137.99155792771768,74.01681760411975,177.95315571595313,36.488259190557585,-3008.7046970195966
248699.46611347128,591962.3111379,138.36502909057444,74.65818100263103,177.5278406418678,37.02102808204563,-3008.2948444575163
248683.47178254894,591976.4379565166,138.72273571090568,75.2112971840774,176.93859968158398,37.76323456106261,-3007.7416770610525
248667.38713834694,591990.470660144,139.06468711142836,75.70472383507968,176.22065343853356,38.67684437717163,-3007.3098852853022
248651.21639062848,592004.4132687342,139.39089736044897,76.13795266979639,175.5101525617471,39.60526804457761,-3007.0286551984896
248634.96374915694,592018.2698022403,139.70138449228227,76.5297013671222,174.9562581404332,40.38144845763121,-3006.8594231863945
248618.6334236959,592032.0442806153,139.9961697698889,76.87287357427495,174.5901236460781,41.00770324600427,-3006.8067066963313
248602.22962400844,592045.7407238113,140.27527697869613,77.17514118655554,174.415767904082,41.47064602603006,-3006.8610610429446
248585.75655985816,592059.3631517818,140.5387317647564,77.42825960806874,174.4428890080203,41.74114785336427,-3007.0333597302256
248569.21844100824,592072.915584479,140.7865610107151,77.6376578352042,174.60712178570176,41.864751896627936,-3007.2566278447343
248552.61947722218,592086.4020418555,141.01879224743092,77.79761566369575,174.92309324928104,41.75950800635134,-3007.4858139004245
248535.96387826314,592099.8265438643,141.23545310884148,77.91439978475054,175.1455185436141,41.39687738848653,-3007.605192597929
248519.2558538947,592113.1931104582,141.43657082196023,77.98052797451481,174.8395357693838,40.74024215715616,-3007.398379914619
248502.49961388015,592126.5057615897,141.62217173399864,77.99932140958548,174.17876021322553,39.87576338993524,-3006.953292697996
248485.6993679829,592139.7685172119,141.7922808777266,77.95756421937922,173.56817870073968,38.88065720252696,-3006.519642009729
248468.859325966,592152.9853972769,141.94692157036957,77.85635969680443,172.9616006100989,37.899902585201964,-3006.1154434189784
248451.9836975932,592166.1604217379,142.0861150502737,77.68309330748887,172.53968285107757,37.079311920846195,-3005.804020611182
248435.0766926277,592179.2976105474,142.2098801477364,77.44662943330543,172.64286081113846,36.56553781830226,-3005.7428215482873
248418.14252083286,592192.4009836584,142.31823298828095,77.14840588790788,172.92243148812324,36.47906428537968,-3005.73390563259
