x_coor;y_coor;dip_azi;dip;thick;throw;depth_mid;h1;h2;h3;h4;h5;h6;h7;f_s1;f_s2;f_s3;f_s4;f_s5;f_s6;f_s7;f_d1;f_d2;f_d3;f_d4;f_d5;f_d6;f_d7;d_c1;d_c2;d_c3;d_c4;d_c5;d_c6;d_c7;sv_grad1;sv_grad2;sv_grad3;sv_grad4;sv_grad5;sv_grad6;sv_grad7;shsv1;shsv2;shsv3;shsv4;shsv5;shsv6;shsv7
247841.9115;592722.6544;58.32636565;64.18303931;194.3421594;21.32092318;-3014.680436;-2796.5;-2838.71;-2856.59;-2907.37;-2927.44;-3100.89;-3123.12;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247808.0154;592752.3584;61.15902985;64.67471664;193.4117635;23.19916307;-3014.638247;-2797.01;-2838.39;-2859.14;-2906.4;-2929.26;-3099.33;-3123.33;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247771.9727;592779.4679;63.9992294;65.54447837;192.3318989;24.75987643;-3014.640759;-2797.17;-2837.77;-2861.52;-2906.03;-2931.01;-3098.08;-3123.36;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247737.2808;592808.2101;64.56203975;66.79775291;191.4636882;25.6723931;-3014.59364;-2797.06;-2837.63;-2863.56;-2906.07;-2932.27;-3097.43;-3123.33;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247704.0868;592838.7627;65.02908617;68.50901349;191.0496602;25.90866927;-3014.331479;-2798.76;-2838.23;-2863.77;-2906.02;-2932.17;-3096.74;-3122.92;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247673.5628;592872.5423;66.56985673;69.77243135;191.0818498;25.68680294;-3013.897652;-2801.44;-2838.11;-2862.83;-2905.75;-2930.93;-3096.2;-3122.54;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247647.8127;592912.0917;67.17111483;70.14133978;191.3054134;25.47467391;-3013.563705;-2802.73;-2838.26;-2861.56;-2905.63;-2929.65;-3095.89;-3122.06;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247627.0939;592957.7222;67.20609511;69.96876179;191.4428756;25.91376818;-3013.56083;-2802;-2837.94;-2860.53;-2905.72;-2929.5;-3095.82;-3122.63;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247610.0426;593007.7853;66.95950086;69.67885487;191.2545859;27.52316009;-3013.904665;-2799.87;-2838.17;-2861.57;-2905.48;-2930.42;-3095.22;-3123.76;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247592.7888;593057.6038;65.88925855;69.37444995;190.5936403;30.48085216;-3014.45262;-2799.82;-2837.78;-2863.62;-2905.05;-2933.16;-3094.07;-3125.77;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
