X,Y,Thickness
244914.55,567881.53,29.74
245414.55,567881.53,21.3
245914.55,567881.53,19.44
246414.55,567881.53,17.11
246914.55,567881.53,13.08
247414.55,567881.53,16.77
247914.55,567881.53,12.07
248414.55,567881.53,10.69
248914.55,567881.53,18.31
249414.55,567881.53,22.49
249914.55,567881.53,19.97
250414.55,567881.53,15.49
250914.55,567881.53,19.61
251414.55,567881.53,21.08
251914.55,567881.53,21.54
252414.55,567881.53,25.34
252914.55,567881.53,18.27
253414.55,567881.53,17.76
253914.55,567881.53,22.44
254414.55,567881.53,23.81
254914.55,567881.53,11.2
255414.55,567881.53,7.68
255914.55,567881.53,19.68
256414.55,567881.53,27.33
256914.55,567881.53,30.07
257414.55,567881.53,19.68
257914.55,567881.53,16.63
258414.55,567881.53,16.18
258914.55,567881.53,31.19
259414.55,567881.53,38.76
259914.55,567881.53,27.28
260414.55,567881.53,22.73
260914.55,567881.53,19.83
261414.55,567881.53,32.74
261914.55,567881.53,20.32
262414.55,567881.53,9.31
262914.55,567881.53,16.83
263414.55,567881.53,24.63
263914.55,567881.53,23.56
264414.55,567881.53,27.06
264914.55,567881.53,44.67
265414.55,567881.53,49.18
234914.55,568381.53,35.72
235414.55,568381.53,39.17
235914.55,568381.53,40.87
236414.55,568381.53,42.22
236914.55,568381.53,44.15
237414.55,568381.53,43.55
237914.55,568381.53,43.75
238414.55,568381.53,42.29
238914.55,568381.53,41.89
239414.55,568381.53,43.18
239914.55,568381.53,41.88
240414.55,568381.53,40.63
240914.55,568381.53,38.45
241414.55,568381.53,37.77
241914.55,568381.53,35.42
242414.55,568381.53,33.42
242914.55,568381.53,33.05
243414.55,568381.53,33.66
243914.55,568381.53,32.28
244414.55,568381.53,32.55
244914.55,568381.53,27.76
245414.55,568381.53,19.76
245914.55,568381.53,11.2
246414.55,568381.53,10.58
246914.55,568381.53,8.92
247414.55,568381.53,11.26
247914.55,568381.53,7.21
248414.55,568381.53,3.05
248914.55,568381.53,5.7
249414.55,568381.53,8.3
249914.55,568381.53,8.21
250414.55,568381.53,6.82
250914.55,568381.53,11.23
251414.55,568381.53,16.45
251914.55,568381.53,24.39
252414.55,568381.53,40.84
252914.55,568381.53,57.38
253414.55,568381.53,47.58
253914.55,568381.53,35.17
254414.55,568381.53,33.17
254914.55,568381.53,18.04
255414.55,568381.53,20.98
255914.55,568381.53,27.22
256414.55,568381.53,28.18
256914.55,568381.53,21.83
257414.55,568381.53,6.9
257914.55,568381.53,6.52
258414.55,568381.53,20.48
258914.55,568381.53,38.28
259414.55,568381.53,43.78
259914.55,568381.53,22.68
260414.55,568381.53,16.15
260914.55,568381.53,36.11
261414.55,568381.53,38.86
261914.55,568381.53,23.21
262414.55,568381.53,14.92
262914.55,568381.53,13.76
263414.55,568381.53,19.17
263914.55,568381.53,16.73
264414.55,568381.53,23.87
264914.55,568381.53,58.89
265414.55,568381.53,50.84
265914.55,568381.53,45.72
234414.55,568881.53,33.09
234914.55,568881.53,39.15
235414.55,568881.53,43.32
235914.55,568881.53,42.58
236414.55,568881.53,43.57
236914.55,568881.53,44.56
237414.55,568881.53,43.76
237914.55,568881.53,44.8
238414.55,568881.53,43.2
238914.55,568881.53,43.19
239414.55,568881.53,45.21
239914.55,568881.53,44.01
